Time	Count
0.17	1
7.17	2
7.50	1
7.67	2
8.83	3
9.00	2
9.33	1
18.50	2
19.00	1
20.17	2
21.00	1
29.33	2
30.83	3
31.00	1
31.17	2
31.33	1
37.33	0
37.50	2
38.00	1
40.17	2
40.33	1
46.83	2
47.17	1
51.67	2
52.67	1
56.00	2
56.33	1
59.17	2
59.67	1
61.50	2
61.67	1
62.67	2
63.67	1
64.17	2
64.50	3
64.67	4
64.83	2
65.00	3
65.17	4
65.33	2
67.17	3
68.33	2
68.83	3
69.00	2
70.00	3
70.17	4
70.33	3
71.00	2
72.00	3
72.17	1
72.33	2
72.67	1
73.83	2
75.00	1
75.67	2
75.83	1
76.33	2
77.17	1
78.33	2
79.17	1
80.83	2
82.33	1
83.17	2
84.17	1
85.00	2
85.67	1
86.50	2
86.67	1
87.33	2
88.50	1
89.00	2
89.33	1
90.00	2
90.17	1
96.17	2
96.50	3
96.83	2
97.67	3
98.67	2
99.50	1
103.83	2
105.00	3
105.17	2
105.33	1
105.50	2
106.17	4
106.33	1
107.50	2
108.17	1
112.00	2
112.17	1
112.33	2
113.17	1
129.33	2
130.00	1
134.67	0
134.83	1
136.33	2
137.00	1
139.17	0
139.33	1
162.17	0
162.33	1
165.33	2
166.33	1
168.17	2
168.83	3
169.00	2
169.33	1
174.00	2
174.33	3
175.17	2
175.83	3
176.33	2
176.67	1
180.83	2
181.17	1
181.33	2
181.50	1
182.00	2
182.17	1
183.50	2
183.67	1
184.17	2
185.17	1
187.50	2
187.67	1
188.33	3
189.00	4
189.17	2
191.17	1
193.33	2
193.67	1
195.17	2
195.83	3
196.00	4
196.17	2
196.67	1
197.17	2
198.33	1
200.00	2
200.83	1
201.83	2
202.33	1
203.67	2
205.17	3
205.33	1
206.83	2
208.33	1
208.67	2
209.17	3
209.67	2
210.17	3
210.33	4
211.00	3
211.17	2
211.83	1
212.50	2
213.17	1
218.00	2
219.50	1
224.00	2
224.17	1
224.33	2
224.50	1
227.33	3
228.17	2
229.33	3
229.50	4
229.67	3
230.00	2
230.50	1
232.33	2
233.83	1
234.17	2
234.33	3
234.50	2
235.33	1
244.00	2
244.17	1
246.17	0
246.33	1
249.33	2
250.33	3
250.50	1
253.17	0
253.33	1
255.33	2
256.33	1
256.83	0
257.00	1
258.50	0
258.67	1
260.67	2
261.67	3
262.17	2
262.33	1
272.00	2
272.83	1
275.33	2
275.50	1
282.83	3
283.00	2
283.33	1
287.00	2
288.67	1
